res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
720x400@60_SMT,Null,*SMT0760H,SMT0760H,1,0,0,Null,Null,Null,Null,0,Null,Null,900,720,18,108,-,prog,59.94,525,400,50,2,-,28.3217,|,x,x,x,x,x,x,,,,,,,,
720x350@70_IBM,Null,*IBM0770U,IBM0770U,1,0,0,Null,Null,Null,Null,0,Null,Null,900,720,18,108,+,prog,70.09,449,350,37,2,-,28.3217,|,x,x,x,x,x,x,,,,,,,,
720x400@70_IBM,Null,*IBM0770H,IBM0770H,1,0,0,Null,Null,Null,Null,0,Null,Null,900,720,18,108,-,prog,70.09,449,400,12,2,+,28.3217,|,x,x,x,x,x,x,,,,,,,,
720x400@85_DMT,Null,DMT0785H,DMT0785H,1,0,0,03/01/96,3,Null,Null,0,Null,Null,936,720,36,72,-,prog,85.04,446,400,1,3,+,35.5,|,x,x,x,x,x,x,,x,x,x,x,x,,
720x480i@29_4:3,1440x240,480i29,VIC006a,1,0,0,Null,Null,Null,Null,6,Null,4:03,1716,720,38,124,-,int,59.93,262,480,4,3,-,13.499,|,,,x,,,x,,,,,,,,
720x480i@30_4:3,1440x240,480i30,VIC006b,1,0,0,Null,Null,Null,Null,6,Null,4:03,1716,720,38,124,-,int,60,262,480,4,3,-,13.5135,|,,,x,,,x,,,,,,,,
720x480i@59_4:3,1440x240,480i59,VIC050a,1,0,0,Null,Null,Null,Null,50,Null,4:03,1716,720,38,124,-,int,119.88,262,480,4,3,-,26.9999,|,x,x,x,x,x,x,,,,,,,,
720x480i@60_4:3,1440x240,480i60,VIC050b,1,0,0,Null,Null,Null,Null,50,Null,4:03,1716,720,38,124,-,int,120,262,480,4,3,-,27.027,|,x,x,x,x,x,x,,,,,,,,
720x480i@119_4:3,1440x240,480i119,VIC058a,1,0,0,Null,Null,Null,Null,58,Null,4:03,1716,720,38,124,-,int,239.77,262,480,4,3,-,53.9999,|,x,x,x,x,x,x,,,,,,,,
720x480i@120_4:3,1440x240,480i120,VIC058b,1,0,0,Null,Null,Null,Null,58,Null,4:03,1716,720,38,124,-,int,240,262,480,4,3,-,54.054,|,x,x,x,x,x,x,,,,,,,,
720x480i@29_16:9,1440x240,480i29SH,VIC007a,1,0,0,Null,Null,Null,Null,7,Null,16:09,1716,1440,38,124,-,int,59.93,262,240,4,3,-,13.499,|,x,x,x,,,x,,,,,,,,
720x480i@30_16:9,1440x240,480i30SH,VIC007b,1,0,0,Null,Null,Null,Null,7,Null,16:09,1716,1440,38,124,-,int,60,262,240,4,3,-,13.5135,|,,,x,,,x,,,,,,,,
720x480i@59_16:9,1440x240,480i59SH,VIC051a,1,0,0,Null,Null,Null,Null,51,Null,16:09,1716,1440,38,124,-,int,119.88,262,240,4,3,-,26.9999,|,x,x,x,x,x,x,,,,,,,,
720x480i@60_16:9,1440x240,480i60SH,VIC051b,1,0,0,Null,Null,Null,Null,51,Null,16:09,1716,1440,38,124,-,int,120,262,240,4,3,-,27.027,|,x,x,x,x,x,x,,,,,,,,
